Author,Title,Conference,Date,Location
"〇Sekikawa T, Matsuya Y, Kawai H, Hwang B, Ishizaka M, Ono Y, Sato T, Kai T.",First-principles calculations of DNA irradiated with a proton and a carbon ion beam,Quantum Innovation 2023,Nov. 2023,"Tokyo, Japan"
"〇Sekikawa T, Matsuya Y, Kai T, Kawai H, Hwang B, Ishizaka M, Ono Y, Sato T, ","Detailed molecular conformational changes and electronic structure of DNA
irradiated with low-energy radiation based on first-principles calculations",21st International Conference on Radiation Effects in Insulators,Sep. 2023,"Fukuoka, Fukuoka, Japan"
"〇Sekikawa T, Kawai H, Hwang B, Ono Y",第一原理計算によるModified-DNAの電子状態と金属化の可能性,日本物理学会2022年秋季大会,Sep. 2022,"Tokyo, Japan"
"〇Sekikawa T, Kawai H, Hwang B, Ono Y",Narrow Band across the Fermi level in modified-DNA based on the first-principles calculation,The 15th Asia Pacific Physics Conference (APPC15) at South Korea,Aug. 2022,"Busan, Korea"
"〇Song I, Hwang B, Hamano I, Ise H",TypeⅢ中間径フィラメントをターゲットとした組織線維症に対する薬物送達システムの開発,日本バイオマテリアル学会　第9回九州支部ブロック講演会,Jan. 2020,"Kitakyushu, Fukuoka, Japan"
"〇Song I, Hwang B, Hamano I, Ise H",TypeⅢ中間径フィラメントを標的とした組織線維症に対する薬物送達システムの開発,第42回日本分子生物学会年会,Dec. 2019,"Fukuoka, Fukuoka, Japan"
"〇Hamano I, Song I, Hwang B, Ise H",O-GlcNAc化タンパク質を模倣したGlcNAc糖鎖高分子による間葉系細胞の生体修復機構の解明,第42回日本分子生物学会年会,Dec. 2019,"Fukuoka, Fukuoka, Japan"
"
〇Song I, Hwang B, Hamano I, Ise H

"," TypeIII 中間径フィラメントを標的とした組織線維症に対する薬物送達システムの開発",第41回日本バイオマテリアル学会大会,Nov. 2019,"Tsukuba, Ibaraki, Japan"
"〇Song I, Hwang B, Ise H
",Type III中間径フィラメントを標的とした組織線維症に対する薬物送達システムの開発,第56回化学関連支部合同九州大会,Jul. 2019,"Kitakyushu, Fukuoka, Japan"
"〇Ise H, Hwang B",Type3中間径フィラメントの細胞表面出現とN-アセチルグルコサミン結合活性の解明,第41回日本分子生物学年会,Nov. 2018,"Yokohama, Kanagawa, Japan"
